iter	MultiClass
0	1.443183578
1	1.3319012
2	1.251194557
3	1.189894436
4	1.142071998
5	1.103940933
6	1.073115
7	1.047937722
8	1.027252591
9	1.010096841
10	0.9958301413
11	0.9839001544
12	0.9738853649
13	0.9654750221
14	0.9583807743
15	0.952421581
16	0.947344457
17	0.943071118
18	0.9394808345
19	0.9364135227
20	0.9337821728
21	0.9315381543
22	0.9296456475
23	0.9280623893
24	0.9266933254
25	0.925527958
26	0.9245735906
27	0.9237221851
28	0.9230165781
29	0.9224092331
30	0.9219296248
31	0.921427755
32	0.9209446835
33	0.9205942295
34	0.9202569284
35	0.9199387814
36	0.9196883122
37	0.9194447933
38	0.9192343661
39	0.9190141314
40	0.918808788
41	0.9186672648
42	0.9185300727
43	0.9183511388
44	0.9181508855
45	0.9180096172
46	0.9178871585
47	0.9177778203
48	0.9176531868
49	0.9175163431
50	0.9173784338
51	0.9172867645
52	0.9171730407
53	0.9170251531
54	0.9168973119
55	0.9167818114
56	0.9165845131
57	0.9164159281
58	0.9162514611
59	0.9161381657
60	0.9159915249
61	0.9158727882
62	0.9157259884
63	0.9155698549
64	0.9154224655
65	0.9153007686
66	0.9151603827
67	0.9150326549
68	0.9149184906
69	0.91476502
70	0.9146548047
71	0.9145152259
72	0.914382298
73	0.9142804582
74	0.9140834261
75	0.9139461226
76	0.9138442097
77	0.9137349038
78	0.9136378765
79	0.9135219181
80	0.9133733658
81	0.9132102056
82	0.9131438028
83	0.9130021155
84	0.912854995
85	0.9126626494
86	0.9124938958
87	0.9123761702
88	0.9122423734
89	0.9121134833
90	0.911960632
91	0.9118204167
92	0.9117227207
93	0.9115976034
94	0.911473172
95	0.9113019389
96	0.9111988256
97	0.9110979245
98	0.9110183624
99	0.910891877
100	0.9107232941
101	0.9106225631
102	0.910490447
103	0.9103819741
104	0.9102052707
105	0.910106889
106	0.9100146982
107	0.9099107254
108	0.9098080409
109	0.9097162511
110	0.9095885274
111	0.9094594527
112	0.9093289864
113	0.9092349283
114	0.9090943452
115	0.9089582728
116	0.9088424075
117	0.9087233863
118	0.9086047702
119	0.9084285049
120	0.9082952169
121	0.9081769683
122	0.908051874
123	0.9079786238
124	0.9078392348
125	0.9077624981
126	0.9076063607
127	0.9075145059
128	0.9074230682
129	0.9073822329
130	0.9072970108
131	0.9072177376
132	0.9071204344
133	0.9069988198
134	0.9068586483
135	0.9067780704
136	0.9066642359
137	0.9065360728
138	0.9064666465
139	0.9063681774
140	0.9062686432
141	0.9061396165
142	0.9060510369
143	0.9059555403
144	0.9058266389
145	0.9056935252
146	0.905562827
147	0.9054710495
148	0.9053090748
149	0.905177173
150	0.9050269356
151	0.9049405304
152	0.9048079316
153	0.9046841424
154	0.9045452606
155	0.9044676005
156	0.9043534761
157	0.9042019171
158	0.9040871575
159	0.9039905757
160	0.9038647321
161	0.9037204932
162	0.9036346935
163	0.9035381202
164	0.9034490188
165	0.9033779384
166	0.9032878528
167	0.9031717375
168	0.9030529207
169	0.9029537874
170	0.9028178023
171	0.902754897
172	0.9026465455
173	0.9024988881
174	0.9023719517
175	0.9022861836
176	0.9022020105
177	0.9020753297
178	0.9019438778
179	0.9018546567
180	0.9017429754
181	0.9016488183
182	0.901550272
183	0.9014725475
184	0.9013740653
185	0.9012541849
186	0.9011503906
187	0.9009970938
188	0.900916695
189	0.9007762566
190	0.9006724788
191	0.9005738367
192	0.9004355842
193	0.9003461185
194	0.9002890147
195	0.900152068
196	0.9000919039
197	0.8999880191
198	0.8998518376
199	0.8997713011
200	0.8996563189
201	0.8995333757
202	0.8994287
203	0.8993388646
204	0.8992629549
205	0.8990552348
206	0.8989516669
207	0.8988397969
208	0.898735415
209	0.8986239372
